Front;Back
"Was ist der <b>Polynomring</b> \(k[X]\)?";"Menge aller formalen Ausdrücke \(a_nX^n+\dots+a_1X+a_0\) mit \(a_i\in k\).<br>Struktur: <b>kommutativer Ring mit Eins</b> <i>und</i> \(k\)-Vektorraum (Basis \(1,X,X^2,\dots\)).<br><i>(Kap. 0)</i>"
"Was bedeutet ""formal"" bei der Definition von Polynomen, und warum ist das nötig?";"Ein Polynom ist die <b>Folge seiner Koeffizienten</b>, nicht die Funktion.<br>Nötig, weil über endlichen Körpern verschiedene Polynome dieselbe Funktion liefern (z. B. \(X^p-X\) über \(\mathbb{F}_p\)).<br><i>(Kap. 0)</i>"
"Wie ist der <b>Grad</b> \(\deg P\) definiert (inkl. Nullpolynom)?";"Für \(P=a_nX^n+\dots+a_0\), \(a_n\neq0\): \(\deg P=n\).<br>Nullpolynom: \(\deg(0):=-\infty\) (mit \(-\infty<n\), \(-\infty+n=-\infty\)).<br><i>(Kap. 0)</i>"
"Was heißt ein Polynom <b>normiert</b> (monic)?";"Leitkoeffizient \(a_n=1\).<br><i>(Kap. 0)</i>"
"Was ist ein <b>nullteilerfreier Ring</b> (Integritätsring)?";"Kommutativer Ring mit \(1\neq0\), sodass \(a\neq0,\ b\neq0\Rightarrow ab\neq0\).<br>Äquivalent: \(ab=0\Rightarrow a=0\) oder \(b=0\).<br><i>(Kap. 0)</i>"
"Wann heißt \(a\in R\) <b>invertierbar</b> (Einheit)?";"Es gibt \(b\in R\) mit \(a\cdot b=1\).<br><i>(Kap. 0)</i>"
"Was sind die <b>Einheiten</b> von \(k[X]\)?";"Genau die Konstanten \(\neq0\): \(k[X]^\times=k\setminus\{0\}\).<br>Grund: \(PQ=1\Rightarrow\deg P+\deg Q=0\).<br><i>(Kap. 0)</i>"
"Was sind die <b>Einheiten</b> von \(\mathbb{Z}\)?";"Nur \(+1\) und \(-1\).<br><i>(Kap. 0)</i>"
"Was bedeutet <b>\(a\mid x\)</b> (a teilt x)?";"Es gibt \(b\in R\) mit \(x=a\cdot b\).<br><i>(Kap. 0)</i>"
"Wann heißen \(x,y\) <b>assoziiert</b>?";"\(x=u\cdot y\) für eine Einheit \(u\).<br>In \(\mathbb{Z}\): \(x,-x\); in \(k[X]\): \(P,\ cP\) mit \(c\neq0\).<br><i>(Kap. 0)</i>"
"Wann heißt \(x\) <b>irreduzibel</b>?";"\(x\neq0\), keine Einheit, und jede Zerlegung \(x=ab\) erzwingt: \(a\) oder \(b\) ist Einheit.<br>(""nur trivial zerlegbar"")<br><i>(Kap. 0)</i>"
"Wann heißt \(x\) <b>Primelement</b>?";"\(x\neq0\), keine Einheit, und \(x\mid ab\Rightarrow x\mid a\) oder \(x\mid b\).<br>(""teilt ein Produkt \(\Rightarrow\) teilt einen Faktor"")<br><i>(Kap. 0)</i>"
"<b>Unterschied</b> irreduzibel vs. Primelement?";"<b>irreduzibel</b>: Aussage über Zerlegungen von \(x\) selbst.<br><b>prim</b>: Aussage über Teilungsverhalten in Produkten.<br>Im Allgemeinen verschieden; nur in ""guten"" Ringen gleich.<br><i>(Kap. 0)</i>"
"Was ist eine <b>Primzahl</b>?";"\(x\in\mathbb{Z}\), \(x>1\), deren einzige positive Teiler \(1\) und \(x\) sind.<br><i>(Kap. 0)</i>"
"Wann ist \(\alpha\in k\) eine <b>Nullstelle</b> von \(P\)?";"\(P(\alpha)=0\), wobei \(P(\alpha)=a_n\alpha^n+\dots+a_0\).<br><i>(Kap. 0)</i>"
"Wann heißt ein Körper \(k\) <b>algebraisch abgeschlossen</b>?";"Jedes nicht-konstante \(P\in k[X]\) hat eine Nullstelle in \(k\).<br>Äquivalent: jedes \(P\) zerfällt vollständig in Linearfaktoren.<br><i>(Kap. 0)</i>"
"<b>Warum</b> braucht die Lineare Algebra 2 die Faktorisierung von Polynomen?";"Diagonalisier-/Trigonalisierbarkeit und JNF hängen davon ab, wie \(\chi_f\) zerfällt.<br>\(\chi_f\) zerfällt in verschiedene Linearfaktoren \(\Rightarrow\) diagonalisierbar; zerfällt \(\Rightarrow\) trigonalisierbar/JNF.<br><i>(Kap. 0)</i>"
"<b>Intuition</b>: Welche Analogie trägt das ganze Kapitel 0?";"\(\mathbb{Z}\leftrightarrow k[X]\): beide erlauben Division mit Rest (euklidische Ringe).<br>Betrag \(\leftrightarrow\) Grad; Primzahl \(\leftrightarrow\) irreduzibles Polynom.<br><i>(Kap. 0)</i>"
"Welche Rolle spielt der <b>Grad</b> in der Analogie \(\mathbb{Z}\leftrightarrow k[X]\)?";"Er ist das <b>Größenmaß</b> (wie der Betrag in \(\mathbb{Z}\)): bei Division mit Rest schrumpft er, was Algorithmen terminieren lässt.<br><i>(Kap. 0)</i>"
"Formel: \(\deg(P\cdot Q)=\)?";"\(\deg(P\cdot Q)=\deg P+\deg Q\) (falls \(P,Q\neq0\)).<br><i>(Kap. 0)</i>"
"Formel: \(\deg(P+Q)\ \square\ \max(\deg P,\deg Q)\)?";"\(\deg(P+Q)\le\max(\deg P,\deg Q)\).<br>Nur \(\le\), weil Leitterme sich auslöschen können.<br><i>(Kap. 0)</i>"
"<b>Warum</b> ist \(k[X]\) nullteilerfrei?";"Aus \(\deg(PQ)=\deg P+\deg Q\): für \(P,Q\neq0\) ist \(\deg(PQ)\ge0\), also \(PQ\neq0\).<br>(Nutzt: \(k\) Körper \(\Rightarrow a_nb_m\neq0\).)<br><i>(Kap. 0)</i>"
"Satz: Zusammenhang <b>Primelement und irreduzibel</b> in einem Integritätsring?";"In jedem nullteilerfreien komm. Ring ist <b>jedes Primelement irreduzibel</b>.<br>(Umkehrung gilt nicht allgemein.)<br><i>(Kap. 0)</i>"
"<b>Kernidee</b>: Beweis ""prim \(\Rightarrow\) irreduzibel""?";"Aus \(x=ab\) folgt \(x\mid ab\), also o. B. d. A. \(x\mid a\), \(a=xa'\).<br>Dann \(0=x(a'b-1)\), Nullteilerfreiheit \(\Rightarrow a'b=1\), also \(b\) Einheit.<br><i>(Kap. 0)</i>"
"Satz <b>Division mit Rest in \(k[X]\)</b>?";"Zu \(P,Q\) mit \(Q\neq0\) existieren <b>eindeutig</b> \(A,R\) mit \(P=AQ+R\) und \(\deg R<\deg Q\).<br><i>(Kap. 0)</i>"
"Satz <b>Division mit Rest in \(\mathbb{Z}\)</b>?";"Zu \(s,t\) mit \(t\neq0\) existieren <b>eindeutig</b> \(a,r\) mit \(s=at+r\) und \(0\le r<|t|\).<br><i>(Kap. 0)</i>"
"<b>Voraussetzung</b> für Division mit Rest?";"Divisor \(\neq0\).<br>(In \(k[X]\) zusätzlich: \(k\) Körper, damit man durch den Leitkoeffizienten teilen kann.)<br><i>(Kap. 0)</i>"
"Satz <b>ggT/Bézout</b> in \(\mathbb{Z}\) oder \(k[X]\)?";"Zu \(p_1,p_2\neq0\) existiert \(d\) mit \(d\mid p_1,\ d\mid p_2\) und \(d=c_1p_1+c_2p_2\).<br>Jeder gemeinsame Teiler teilt \(d\).<br><i>(Kap. 0)</i>"
"Was ist die <b>Kernaussage</b> von Bézout?";"Der ggT ist nicht nur größter gemeinsamer Teiler, sondern eine <b>Linearkombination</b> \(d=c_1p_1+c_2p_2\).<br>Das ist der Hebel für ""irreduzibel \(\Rightarrow\) prim"".<br><i>(Kap. 0)</i>"
"Satz: irreduzibel vs. prim in \(\mathbb{Z}\) und \(k[X]\)?";"Dort gilt <b>irreduzibel \(\Leftrightarrow\) prim</b>.<br>Insbesondere: \(x>1\) Primzahl \(\Leftrightarrow\) irreduzibel \(\Leftrightarrow\) Primelement.<br><i>(Kap. 0)</i>"
