"Front";"Back"
"[Kap.1][Def] Was ist ein topologischer Raum (Umgebungstopologie)?";"Menge \(X\) mit Abbildung \(N: X \to \mathcal{P}(\mathcal{P}(X))\), die jedem \(x\) eine Familie von Teilmengen \(N(x)\) zuordnet, sodass die 4 Umgebungsaxiome gelten.<br>Notation: \((X,N)\)"
"[Kap.1][Notation] Wie nennt man \(N(x)\)?";"Die <b>Umgebungen</b> von \(x\)"
"[Kap.1][Def] Axiom (i) der Umgebungstopologie";"\(U \in N(x) \Rightarrow x \in U\)<br>Jede Umgebung von \(x\) enthält \(x\) selbst"
"[Kap.1][Def] Axiom (ii) der Umgebungstopologie";"\(V \subseteq X,\ \exists U \in N(x): U \subseteq V \Rightarrow V \in N(x)\)<br>Obermengen von Umgebungen sind Umgebungen"
"[Kap.1][Def] Axiom (iii) der Umgebungstopologie";"\(U, V \in N(x) \Rightarrow U \cap V \in N(x)\)<br>Endliche Schnitte von Umgebungen sind Umgebungen"
"[Kap.1][Def] Axiom (iv) der Umgebungstopologie";"\(\forall U \in N(x)\ \exists V \subseteq U: \forall y \in V,\ V \in N(y)\)<br>Jede Umgebung enthält eine offene Umgebung"
"[Kap.1][Verständnis] Warum braucht man Axiom (iv) der Umgebungstopologie?";"Es erlaubt, von <b>offenen</b> Umgebungen zu sprechen, die auch in sich selbst offen bleiben. Fundament für den Begriff der offenen Menge."
"[Kap.1][Def] Wann heißt eine Menge \(O \subseteq X\) offen?";"\(O\) heißt offen \(:\Leftrightarrow \forall x \in O: O \in N(x)\)"
"[Kap.1][Def] Wann heißt eine Menge \(A \subseteq X\) abgeschlossen?";"\(A\) heißt abgeschlossen \(:\Leftrightarrow A^c = X\setminus A\) ist offen"
"[Kap.1][Satz] Eigenschaften offener Mengen (Satz 1.3)";"<ul><li>\(\emptyset\) und \(X\) sind offen</li><li>Beliebige Vereinigungen offener Mengen sind offen</li><li>Endliche Durchschnitte offener Mengen sind offen</li></ul>"
"[Kap.1][Gegenbeispiel] Ist der Durchschnitt unendlich vieler offener Mengen immer offen?";"Nein. Gegenbeispiel: \(\bigcap_{n\in\mathbb{N}} (-1/n,1/n) = \{0\}\), und \(\{0\}\) ist nicht offen in \(\mathbb{R}\)."
"[Kap.1][Fehler] Typischer Klausurfehler beim Durchschnitt offener Mengen";"Studierende nehmen an, dass auch <b>unendliche</b> Durchschnitte offener Mengen offen sind. Nur <b>endliche</b> Durchschnitte sind garantiert offen."
"[Kap.1][Beweisidee] Kernidee des Beweises von Satz 1.3(iii)";"Für \(x \in O \cap O'\) gilt \(O \in N(x)\) und \(O' \in N(x)\) nach Def. offener Mengen, dann Axiom (iii) der Umgebungstopologie liefert \(O \cap O' \in N(x)\)."
"[Kap.1][Def] Umgebungsbasis";"Sammlung \(\mathcal{B}\) offener Mengen, sodass jede offene Menge Vereinigung von Mengen aus \(\mathcal{B}\) ist"
