Front;Back
"[K1] Was ist die Stromdichte \\(\vec j\\) eines Fluids? (Definition)";"\\(\vec j := \rho \vec v\\)<br>Einheit: \\(\text{kg}/(\text{m}^2\text{s})\\)"
"[K1] Wann heißt eine Strömung stationär?";"Wenn \\(\partial\vec v/\partial t = 0\\) und \\(\partial\rho/\partial t = 0\\) überall gilt (zeitunabhängige Felder)."
"[K1] Formel für den Volumen- bzw. Massendurchfluss durch eine Fläche \\(A\\)?";"\\(\dot V = Av\\), \\(\dot m = \rho A v\\)"
"[K1] Definition der Divergenz eines Vektorfelds \\(\vec j\\)?";"\\(\operatorname{div}\vec j = \dfrac{\partial j_x}{\partial x}+\dfrac{\partial j_y}{\partial y}+\dfrac{\partial j_z}{\partial z}\\)<br>Misst lokale Quellstärke."
"[K1] Newtonsches Reibungsgesetz (Definition der Viskosität)?";"\\(\dfrac{F}{A} = \eta \dfrac{dv}{dz}\\)<br>\\(\eta\\): dynamische Viskosität, Einheit Pa·s"
"[K1] Definition der Reynoldszahl?";"\\(\mathrm{Re} = \dfrac{\rho v \Delta z}{\eta}\\)<br>Verhältnis Trägheits- zu Reibungskräften"
"[K1 – Verständnis] Warum gilt die Kontinuitätsgleichung \\(\operatorname{div}\vec j = -\partial\rho/\partial t\\) für JEDE Strömung, unabhängig vom Material?";"Sie ist reine Konsequenz der Massenerhaltung (Bilanz über beliebiges Kontrollvolumen + Satz von Gauß) – keine zusätzliche physikalische Annahme nötig."
"[K1 – Beweis] Kernidee des Beweises der Kontinuitätsgleichung?";"Massenbilanz über beliebiges Kontrollvolumen \\(V\\): \\(\frac{dm}{dt}=\int_V\partial_t\rho\,dV = -\oint_S\vec j\cdot d\vec A\\), dann Satz von Gauß anwenden und Integranden punktweise gleichsetzen (da \\(V\\) beliebig)."
"[K1] Bernoulli-Gleichung (vollständige Formel)?";"\\(p+\rho g h+\tfrac12\rho v^2=\text{const}\\) entlang eines Stromfadens"
"[K1 – Voraussetzungen] Unter welchen Annahmen gilt die Bernoulli-Gleichung?";"<ul><li>stationär</li><li>reibungsfrei</li><li>inkompressibel</li><li>entlang EINES Stromfadens</li></ul>"
"[K1 – Beweis] Kernidee des Beweises der Bernoulli-Gleichung?";"Arbeit-Energie-Satz an einem verschobenen Fluidelement: Nettoarbeit der Druckkräfte \\((p_1-p_2)dV\\) = Änderung der kinetischen (+potentiellen) Energie."
"[K1 – Intuition] Warum sinkt der Druck, wo die Geschwindigkeit steigt (Bernoulli)?";"Beschleunigung kostet Energie; diese wird aus dem statischen Druck 'bezahlt', da Gesamtenergie entlang des Stromfadens konstant bleibt."
"[K1] Formel: Hagen-Poiseuille-Gesetz (Volumendurchsatz im Rohr)?";"\\(\dot V = \dfrac{\pi \Delta p R^4}{8\eta \ell}\\)"
"[K1] Geschwindigkeitsprofil bei Hagen-Poiseuille-Strömung?";"\\(v(r)=\dfrac{\Delta p}{4\eta\ell}(R^2-r^2)\\) – parabolisch, Maximum in Rohrmitte"
"[K1 – Voraussetzungen] Wann gilt Hagen-Poiseuille?";"laminare Strömung (\\(\mathrm{Re}<\mathrm{Re}_{krit}\\)), Newtonsches Fluid, Haftbedingung an der Wand, stationär"
"[K1 – Beweis] Kernidee des Beweises von Hagen-Poiseuille?";"Kräftebilanz an koaxialem Fluidzylinder: Druckkraft = Reibungskraft an der Mantelfläche, DGL für \\(v(r)\\) lösen, dann über alle Ringe integrieren."
"[K1 – Verständnis] Warum wächst der Durchsatz mit \\(R^4\\) und nicht linear mit \\(R\\)?";"Zwei Effekte multiplizieren sich: größerer Querschnitt (\\(\propto R^2\\)) UND ein flacheres, im Mittel schnelleres Geschwindigkeitsprofil (\\(\propto R^2\\))."
"[K1] Stokes'sches Gesetz (Widerstandskraft auf Kugel)?";"\\(F_W = 6\pi\eta r\bar v\\)"
"[K1 – Voraussetzungen] Wann gilt Stokes'sches Gesetz?";"kleine Reynoldszahl (schleichende Strömung), kugelförmiger Körper, Newtonsches Fluid"
"[K1 – Beweis] Warum wird Stokes'sches Gesetz in dieser Vorlesung nicht vollständig bewiesen?";"Es erfordert die volle Lösung der Navier-Stokes-Gleichungen für schleichende Strömung um eine Kugel – über den Rahmen dieser Vorlesung hinaus."
"[K1] Formel für die Sedimentationsgeschwindigkeit einer Kugel in Flüssigkeit?";"\\(\bar v = \dfrac{2}{9}\dfrac{(\rho_K-\rho_{Fl})g}{\eta}r^2\\)"
"[K1 – Fehler] Typischer Fehler: Bernoulli-Gleichung wird angewendet, obwohl...";"...Reibung im Aufgabentext explizit erwähnt wird (Bernoulli gilt nur reibungsfrei!)."
"[K1 – Fehler] Typischer Fehler bei Hagen-Poiseuille?";"Wird auf turbulente Strömung angewendet, obwohl es nur für laminare Strömung (\\(\mathrm{Re}<\mathrm{Re}_{krit}\\)) gilt."
"[K1 – Vergleich] Wann benutzt man Bernoulli, wann Hagen-Poiseuille?";"Bernoulli: reibungsfrei/ideal, Energieerhaltung entlang Stromfaden.<br>Hagen-Poiseuille: viskose Strömung durch ein Rohr, laminar."
"[K1 – Anwendung] Torricelli'sches Ausflussgesetz – Formel und Herleitungsidee?";"\\(v=\sqrt{2gh}\\); folgt direkt aus Bernoulli zwischen Wasseroberfläche (\\(v\approx0\\)) und Loch (gleicher Atmosphärendruck)."
"[K1 – Transfer] Welches Prinzip aus Kapitel 1 taucht in der Elektrodynamik (Kapitel 9) in fast identischer Form wieder auf?";"Die Kontinuitätsgleichung \\(\operatorname{div}\vec j=-\partial\rho/\partial t\\) – dort für elektrische Ladung statt Masse."
"[K1] Kriterium laminar vs. turbulent (Reynoldszahl)?";"\\(\mathrm{Re}<\mathrm{Re}_{krit}\\): laminar; \\(\mathrm{Re}>\mathrm{Re}_{krit}\\): turbulent (im Rohr \\(\mathrm{Re}_{krit}\approx2300\\))"
"[K1 – Gegenbeispiel] Wann funktioniert Bernoulli NICHT?";"Bei turbulenter Strömung (Energiedissipation in Wirbel/Wärme) und bei kompressiblen Gasen mit großen Geschwindigkeitsänderungen."
"[K1 – Gegenbeispiel] Wann funktioniert Stokes'sches Gesetz NICHT?";"Bei großem \\(\mathrm{Re}\\) (schnell fallende große Körper) – dort dominiert Trägheitswiderstand \\(F\propto v^2\\) statt viskosem Widerstand \\(F\propto v\\)."
"[K1] Formel für die Widerstandskraft (Strömungswiderstand allgemein, empirisch)?";"\\(F_W = c_W\cdot\tfrac12\rho v^2\cdot A\\)"
"[K1 – Intuition] Warum bremst eine größere Kugel relativ stärker als eine kleine bei gleicher Sinkgeschwindigkeit im Stokes-Regime?";"Reibungskraft \\(\propto r\\), Gewichtskraft \\(\propto r^3\\) – bei größerer Kugel dominiert die Gewichtskraft stärker, daher \\(\bar v\propto r^2\\) (größere Kugeln fallen schneller)."
"[K2] Modellannahmen des idealen Gases (3 Punkte)?";"<ol><li>punktförmige Teilchen</li><li>keine Wechselwirkung außer elastischen Stößen</li><li>klassische Mechanik</li></ol>"
"[K2] Definition des Drucks (mikroskopisch)?";"\\(p := \langle F\rangle / A\\) – mittlere Kraft pro Fläche durch Teilchenstöße"
"[K2] Was ist ein Freiheitsgrad (FG)?";"Eine unabhängige Koordinate, in der ein Molekül kinetische/potentielle Energie speichern kann."
"[K2] Wie viele Freiheitsgrade hat ein einatomiges Gas?";"\\(f=3\\) (nur Translation)"
"[K2] Wie viele Freiheitsgrade hat ein zweiatomiges Gas bei mittlerer Temperatur?";"\\(f=5\\) (3 Translation + 2 Rotation)"
"[K2] Formel für die kinetische Definition der absoluten Temperatur?";"\\(\langle\varepsilon_{kin}\rangle = \tfrac32 k_BT\\) (nur Translation, pro Teilchen)"
"[K2] Wert der Boltzmann-Konstante?";"\\(k_B=1{,}38\cdot10^{-23}\,\text{J/K}\\)"
"[K2] Ideale Gasgleichung?";"\\(pV=Nk_BT=nRT\\), \\(R=8{,}31\,\text{J}/(\text{mol K})\\)"
"[K2] Formel für die innere Energie eines idealen Gases?";"\\(U=n\cdot f\cdot\tfrac12 RT\\)"
"[K2] Aussage des Gleichverteilungssatzes (Äquipartitionstheorem)?";"Im thermischen Gleichgewicht entfällt auf jeden quadratischen Freiheitsgrad im Mittel die Energie \\(\tfrac12 k_BT\\)."
"[K2 – Beweis] Wird der Gleichverteilungssatz in dieser Vorlesung streng bewiesen?";"Nein – er wird als empirisch/statistisch begründetes Postulat übernommen (voller Beweis benötigt kanonisches Ensemble aus der statistischen Physik)."
"[K2] Kinetische Druckformel?";"\\(pV=\tfrac23 N\langle\varepsilon_{kin}\rangle=\tfrac13 Nm\langle v^2\rangle\\)"
"[K2 – Beweis] Kernidee des Beweises der kinetischen Druckformel?";"Impulsübertrag pro Wandstoß \\(2mv_x\\), Zeit zwischen Stößen \\(2L/v_x\\) → Kraft eines Teilchens, Summation über N Teilchen, Isotropie \\(\langle v_x^2\rangle=\tfrac13\langle v^2\rangle\\) ausnutzen."
"[K2] Maxwell-Boltzmann-Geschwindigkeitsverteilung (Formel)?";"\\(h(v)\,dv = 4\pi\left(\dfrac{m}{2\pi k_BT}\right)^{3/2}v^2 e^{-\frac{mv^2}{2k_BT}}\,dv\\)"
"[K2] Formel für die wahrscheinlichste Geschwindigkeit \\(v_w\\)?";"\\(v_w=\sqrt{2k_BT/m}\\)"
"[K2] Formel für die mittlere Geschwindigkeit \\(\langle v\rangle\\)?";"\\(\langle v\rangle=\sqrt{8k_BT/(\pi m)}\\)"
"[K2] Formel für die quadratisch gemittelte Geschwindigkeit?";"\\(\sqrt{\langle v^2\rangle}=\sqrt{3k_BT/m}\\)"
"[K2 – Vergleich] Reihenfolge der drei charakteristischen Geschwindigkeiten?";"\\(v_w < \langle v\rangle < \sqrt{\langle v^2\rangle}\\)"
